Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
1975-08-27,-1.0,1975-08-28,-1.5121206856719582,2.0,-1.4778135439160938,-1.9084252142838671,-3.746623307642626
1975-08-29,1.0,1975-09-10,-5.998403468574576,8.0,-5.77366588613454,-4.802291882724019,-9.520289193777167
1975-09-11,-1.0,1975-10-01,0.8300650389240438,15.0,-2.3839568152512607,-3.491079420704535,-11.904246009028427
1975-10-02,1.0,1975-12-05,0.2387486616186596,46.0,-0.46488682591886293,-5.734282730975748,-9.234135572974017
1975-12-08,-1.0,1975-12-31,-3.3727130663198546,17.0,-3.0842976484583144,-4.134158524638346,-11.635734197912477
1976-01-02,0.0,1976-01-05,-0.6285788084951283,2.0,-0.5554390491142286,0.0,-12.191173247026706
1976-01-06,1.0,1978-10-17,62.55796510280198,704.0,-0.01783182758202939,-6.68587784569442,-12.209005074608735
1978-10-18,-1.0,1978-10-26,6.702331121894867,7.0,-1.4938511045054566,-0.014345658012533598,-7.414780118694589
1978-10-27,1.0,1978-11-02,1.4811374144608314,5.0,-3.4330682129439962,-3.510148102601824,-3.4330682129439962
1978-11-03,-1.0,1978-11-16,3.5159784504508185,10.0,-1.2447842122586494,-1.6789470086143343,-1.6762840546819782
1978-11-17,1.0,1978-11-17,-1.266815286181,1.0,-1.2529888386323402,0.0,-2.3444224280035897
1978-11-20,-1.0,1978-12-01,-0.7785704723962006,9.0,-0.7603174916235383,-1.9078545950105292,-3.104739919627128
1978-12-04,1.0,1979-10-11,19.544330662911126,217.0,-5.359468448666085,-8.369723038933602,-8.464208368293216
1979-10-12,-1.0,1979-10-24,5.847411776844025,9.0,0.3675970481156546,-0.768088628026619,-7.587976302668446
1979-10-25,1.0,1980-03-05,15.35392368186792,91.0,-4.848849752688373,-7.513080368094361,-7.422206459657686
1980-03-06,-1.0,1980-03-11,-0.18200427561938515,4.0,-2.6284957338581467,-0.5270250156229194,-10.050702193515832
1980-03-12,1.0,1980-03-13,0.14949067572207486,2.0,-0.07803855098965223,0.0,-7.668740553164853
1980-03-14,-1.0,1980-03-14,-0.4038198981008989,1.0,-0.3737249830792766,0.0,-7.826283701247508
1980-03-17,1.0,1980-03-21,2.6033154408162895,5.0,2.3995725887796393,-0.8290677802870221,-5.426711112467868
1980-03-24,-1.0,1980-03-24,-3.049965288410983,1.0,-2.8844524831783644,0.0,-8.311163595646233
1980-03-25,1.0,1980-03-27,-4.972367498512864,3.0,-4.559105901134732,-6.365322300151263,-12.870269496780965
1980-03-28,-1.0,1980-04-24,-3.4478004852546817,19.0,-3.004059271091111,-7.356969005513195,-15.874328767872075
1980-04-25,1.0,1980-12-11,37.03002030063944,160.0,0.5042507515204769,-9.283749382733806,-15.370078016351599
1980-12-12,-1.0,1980-12-19,-2.2472134029019153,6.0,-2.0401970909755236,-3.4850864035298903,-11.252331179311307
1980-12-22,0.0,1981-01-07,-1.0272905550097189,11.0,-0.9116964195862567,-0.083333333333361,-12.164027598897565
1981-01-08,1.0,1981-02-06,0.9729248594672946,22.0,-1.250139934647887,-4.234600161531324,-13.414167533545452
1981-02-09,-1.0,1981-02-24,0.9786457551538064,11.0,-0.4485832031317777,-0.8080938448506438,-11.758032790984172
1981-02-25,1.0,1981-02-25,-0.06348106306302004,1.0,-0.056852698476678176,0.0,-10.498335979498036
1981-02-26,-1.0,1981-02-27,0.09281796876288162,2.0,0.08307362655281259,-1.0407159521315417,-10.415262352945224
1981-03-02,1.0,1981-07-06,4.350920518095647,88.0,-0.9193133953857818,-6.475952577735672,-11.334575748331005
1981-07-07,-1.0,1981-08-14,-2.488473826057269,29.0,-2.6080907436821787,-3.0164855457221504,-9.125592365259674
1981-08-17,1.0,1981-08-21,-0.19060423724884812,5.0,-0.1737476004419508,-1.3366355568835802,-9.017536726110924
1981-08-24,-1.0,1981-08-31,-0.5078264220866657,6.0,-2.624769247696558,-0.352632612626618,-11.642305973807481
1981-09-01,1.0,1981-09-14,-2.567300386049731,9.0,-4.543218204737879,-5.422074380591873,-14.02278791881891
1981-09-15,-1.0,1981-09-22,3.1981246409602537,6.0,-0.062151013797472066,-0.07170288170596603,-11.865652084062777
1981-09-23,1.0,1981-10-01,2.213771098811068,7.0,-1.0719741359881767,-2.955257474259165,-10.054841241517396
1981-10-02,-1.0,1981-10-02,1.7555489119675416,1.0,1.6332230340718283,0.0,-5.3347330884731585
1981-10-05,1.0,1982-01-12,-0.12353014600975376,69.0,-1.5911510352094098,-7.033001234630097,-6.925884123682568
1982-01-13,-1.0,1982-03-11,7.401909921499117,41.0,-2.1316402355137694,-2.7224322258489484,-9.057524359196337
1982-03-12,1.0,1982-03-18,2.014023620168648,5.0,0.006480884788980261,-0.1789681189724966,-0.18055654061943024
1982-03-19,-1.0,1982-04-02,-3.0562719990081644,11.0,-3.9313266602204813,-4.038188635516472,-3.9313266602204813
1982-04-05,1.0,1982-06-07,-2.2559710935167954,44.0,-3.6506441793917115,-7.669435054347529,-7.581970839612192
1982-06-08,-1.0,1982-07-21,0.6178368889004471,31.0,-0.49101160173529307,-2.6299724718775837,-8.072982441347486
1982-07-22,1.0,1982-08-04,-3.508027262729463,10.0,-3.262080237371083,-3.244153533264047,-10.27305840083563
1982-08-05,-1.0,1982-08-24,-5.115778639845803,14.0,-4.590231712516937,-7.531249292249906,-14.863290113352567
1982-08-25,1.0,1983-07-29,69.77040115133678,236.0,-1.4843530639775144,-7.65783119553033,-16.34764317733008
1983-08-01,-1.0,1983-09-09,-0.7015724028554993,29.0,-1.140443133355086,-4.167031130379013,-8.666314734422938
1983-09-12,1.0,1983-10-03,-1.567002513120186,16.0,-1.4389056273371101,-3.2819655131729846,-9.61355019303297
1983-10-04,-1.0,1983-10-04,0.01737883037671306,1.0,0.01570810779547016,0.0,-9.5978420852375
